,거래,종류,확인일자,현장확인,매물명,공급면적,전용면적,층,매물가,연락처
0,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.38,84.96,13/16,87000,우수 활동new삼성공인중개사사무소 02-823-4040
1,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,17/17,100000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
2,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,10/17,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
3,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
4,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,17/17,100000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
5,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,10/17,87000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
6,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
7,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,3/13,87500,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
8,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,20/20,87000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
9,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,2/16,84000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
10,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,15/17,115000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
11,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,8/17,47500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
12,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.99,5/15,59500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
13,매매,아파트,2017-12-26,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.38,84.96,13/16,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
14,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,12/17,100000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
15,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.14,84.95,13/16,87000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
16,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,15/16,57000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
17,매매,아파트,2017-12-27,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,12/17,100000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
18,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동파크(단지내)공인중개사사무소 02-823-1003
19,매매,아파트,2017-12-27,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,15/16,57000,우수 활동파크(단지내)공인중개사사무소 02-823-1003
20,매매,아파트,2017-12-27,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동드림(단지내)공인중개사사무소 02-823-8500
21,매매,아파트,2017-12-26,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,2/15,55000,우수 활동굿모닝공인중개사 사무소 02-826-2800
22,매매,아파트,2017-12-23,,집주인 우리유앤미 네이버부동산에서 보기,81.74,59.66,10/17,47500,우수 활동드림(단지내)공인중개사사무소 02-823-8500
23,매매,아파트,2017-12-23,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,16/17,115000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
24,매매,아파트,2017-12-27,,흑석동양 네이버부동산에서 보기,109.28,84.98,12/15,57000,우수 활동new삼성공인중개사사무소 02-823-4040
25,매매,아파트,2017-12-21,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,11/17,47500,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
26,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,4/19,89000,우수 활동한강(단지내)공인중개사사무소 02-825-3114
27,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.3,119.73,14/15,100000,우수 활동명문(단지내)센트레빌공인중개사사무소 02-823-0707
28,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,151.31,119.72,14/15,100000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
29,매매,아파트,2017-12-21,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,177.17,146.48,16/17,115000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
30,매매,아파트,2017-12-18,,집주인 청호 네이버부동산에서 보기,80.99,59.85,2/12,43000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
31,매매,아파트,2017-12-18,,집주인 청호 네이버부동산에서 보기,80.99,59.85,2/12,42500,우수 활동한강(단지내)공인중개사사무소 02-825-3114
32,매매,아파트,2017-12-16,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.99,5/15,57000,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
33,매매,아파트,2017-12-16,,집주인 우리유앤미 네이버부동산에서 보기,82.02,59.94,8/17,47500,우수 활동한강(정문)롯데캐슬공인중개사사무소 02-821-5114
34,매매,아파트,2017-12-27,,명수대현대 네이버부동산에서 보기,145.45,112.29,2/15,103000,우수 활동굿모닝공인중개사 사무소 02-826-2800
35,매매,아파트,2017-12-26,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,7/17,90000,우수 활동new삼성공인중개사사무소 02-823-4040
36,매매,아파트,2017-12-20,,집주인 흑석한강센트레빌2차 네이버부동산에서 보기,111.29,84.99,저/20,87000,우수 활동NEW삼성공인중개사사무소 02-823-4040
37,매매,아파트,2017-12-28,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,12/20,103000,센트레빌(단지내)공인중개사사무소 02-817-8989
38,매매,아파트,2017-12-28,,흑석한강푸르지오 네이버부동산에서 보기,148.07,115.95,11/13,108000,푸르지오(단지내)공인중개사사무소 02-813-3500
39,매매,아파트,2017-12-27,,흑석한강센트레빌2차 네이버부동산에서 보기,111.19,84.98,고/17,90000,우수 활동new삼성공인중개사사무소 02-823-4040
40,매매,아파트,2017-12-27,,우리유앤미 네이버부동산에서 보기,103.09,83.58,중/17,59500,우수 활동new삼성공인중개사사무소 02-823-4040
41,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,109.29,84.99,14/16,60000,우수 활동엔젤(단지내)공인중개사사무소 02-825-7171
42,매매,아파트,2017-12-15,,집주인 흑석동양 네이버부동산에서 보기,109.28,84.98,11/16,60000,우수 활동드림(단지내)공인중개사사무소 02-823-8500
43,매매,아파트,2017-12-28,,흑석한강센트레빌1차 네이버부동산에서 보기,106.97,84.91,4/20,97000,삼성부동산공인중개사사무소 02-816-8855
